ecotype_id	5_FT10
430	NA
992	100
997	96.3
1002	100
1066	123
1435	60.5
5726	NA
5748	NA
5830	98
5831	105
5832	87
5837	57
5856	118.7
5867	122.5
6009	98
6012	94.5
6013	101.3
6016	75
6017	85
6019	103.3
6020	103.8
6021	102
6023	93.5
6024	104
6025	101
6030	105
6034	91.5
6035	84
6036	82.5
6038	85.8
6039	66
6040	71
6041	73
6042	56
6043	90
6046	93
6064	96
6069	111
6070	96
6071	109
6073	106.8
6074	91
6076	115
6085	125
6086	92.5
6088	92.6667
6090	92
6092	104
6097	114.5
6098	85
6099	111
6100	115
6102	118
6104	101
6106	105
6107	113
6108	73.5
6111	116
6112	97
6113	123.25
6114	103.5
6125	108
6126	119.7
6128	117
6131	109
6132	103.3
6133	105
6136	86
6137	86.3
6138	83
6140	86
6142	90
6145	100
6148	90
6150	83.5
6151	108
6154	109
6163	107.5
6166	107.5
6169	91.5
6171	104
6172	80
6173	89.5
6174	91
6177	89
6180	58.5
6184	85.3
6188	59
6189	73
6193	71
6194	108.8
6195	68
6198	78.5
6201	91.3
6202	115
6209	90
6210	89.3
6216	117.5
6217	90.7
6218	106
6220	96.5
6231	110
6238	99
6240	91
6241	91
6242	93.5
6243	56
6244	107.5
6255	104.5
6258	107
6268	108
6276	109
6284	106.5
6800	NA
6836	NA
6897	62
6898	41
6900	90
6901	86
6903	57
6904	66
6913	99
6915	53
6917	121
6918	108
6919	71
6921	64
6922	48
6926	49
6929	71
6938	63
6940	49
6945	55
6951	68
6958	49
6961	46
6963	60
6964	93
6965	102
6967	44
6968	71
6970	48
6973	53
6974	103
6975	51
6977	49
6981	44
6982	49
6983	71
6986	NA
6990	73
6992	NA
6994	87
7000	65
7002	89
7003	NA
7008	NA
7014	92
7015	NA
7025	NA
7026	59
7028	NA
7031	72.5
7036	NA
7061	NA
7068	NA
7071	64
7072	NA
7092	74
7096	NA
7102	NA
7103	NA
7106	NA
7107	NA
7117	NA
7125	NA
7126	NA
7130	NA
7133	NA
7138	NA
7143	64
7162	NA
7163	57
7164	NA
7165	NA
7166	65.5
7169	NA
7174	NA
7175	NA
7177	NA
7181	NA
7183	46
7199	49
7203	NA
7206	44
7208	NA
7217	NA
7218	NA
7235	NA
7236	NA
7244	58
7252	NA
7255	46
7276	NA
7280	59
7287	NA
7293	NA
7298	NA
7300	61
7305	NA
7306	60
7314	NA
7316	98
7318	NA
7319	NA
7320	87
7332	NA
7333	50
7337	59
7342	NA
7343	62
7344	57.5
7347	NA
7349	NA
7351	98.3
7353	NA
7354	NA
7372	NA
7375	NA
7378	76
7384	95.8
7387	NA
7404	NA
7411	64
7421	NA
7424	43
7427	NA
7430	NA
7458	NA
7514	58
7516	100
7517	107
7518	103
8213	44
8222	90
8230	97
8231	91
8237	97
8240	93
8241	73
8242	120
8247	87
8249	81
8256	61
8258	73
8259	73
8283	71
8306	96
8334	64
8335	104
8369	76
8376	84
8386	69
8387	52
8422	106
9057	76
9058	101
9321	100
9323	100.3
9371	106.3
9382	99.3
9386	117
9388	118.8
9390	69.5
9391	73
9394	103.5
9395	97.5
9399	101.8
9402	92.5
9404	99
9405	85.8
9407	91.5
9408	111.8
9409	105
9412	86.5
9416	115
9421	105
9427	91
9433	121
9434	108.3
9437	77
9442	108.7
9450	89.8
9451	111
9452	106
9453	98
9454	104.8
9455	100
9470	90.7
9471	86
9476	105
9481	107
